Node Number =  35749
  -85.03839       47.14328       130.3547    
  -84.66596       47.21436       40.76275    
  -85.07799       47.13572       144.4330    
  -85.11810       47.12527       198.2986    
  -85.15688       47.11733       177.5141    
  -85.16368       47.08929       120.4573    
  -85.19864       47.08448       104.7799    
  -85.21970       47.06458       129.7552    
  -85.20113       47.04173       98.10676    
  -85.21408       47.01646       102.7420    
  -85.23646       46.99043       128.3509    
  -85.33729       46.85477       70.29485    
  -85.33727       46.82839       63.74604    
  -85.34430       46.80100       48.31927    
  -85.35558       46.77224       24.54002    
  -85.36369       46.74386       18.54276    
  -85.34300       46.72466       11.72294    
  -85.27698       46.98657       238.7410    
  -85.29993       46.96173       150.8601    
  -85.33572       46.95258       99.23725    
  -85.34028       46.92712       95.07493    
  -85.34919       46.90062       73.03558    
  -85.35453       46.87696       79.26421    
  -84.68547       47.23667       135.4534    
  -84.72637       47.23546       21.01541    
  -84.76683       47.23388       46.24919    
  -84.80430       47.23514       92.60799    
  -84.84396       47.23279       54.77462    
  -84.88467       47.22834       31.72815    
  -84.92185       47.22838       130.6311    
  -84.95861       47.22937       215.0893    
  -85.00046       47.22279       134.2748    
  -85.01407       47.19661       139.0313    
  -85.05432       47.18940       141.2305    
  -85.06683       47.16260       147.2036    
  -84.64434       47.23695       30.57723    
  -85.10773       47.15252       204.8209    
  -85.14743       47.14484       209.1412    
  -85.18656       47.13726       144.3542    
  -85.19549       47.10991       121.2851    
  -85.23634       47.09225       174.0552    
  -85.26026       47.06267       239.3542    
  -85.23933       47.03911       145.3866    
  -85.25465       47.01325       182.2278    
  -85.38703       46.86547       80.07698    
  -85.37764       46.84263       75.51809    
  -85.37459       46.81790       62.16071    
  -85.38110       46.79016       42.46878    
  -85.39172       46.76089       24.12236    
  -85.39953       46.73244       18.34723    
  -85.37842       46.71308       9.355490    
  -85.29565       47.00868       178.6262    
  -85.31799       46.98103       108.0684    
  -85.35808       46.97372       114.3758    
  -85.37515       46.94501       130.9039    
  -85.38021       46.91861       90.73726    
  -85.38852       46.89135       79.22464    
  -84.66646       47.26047       87.96325    
  -84.70616       47.25883       82.06103    
  -84.74777       47.25741       27.59334    
  -84.78589       47.25939       66.93854    
  -84.82615       47.25731       93.85685    
  -84.86769       47.25310       30.73299    
  -84.90649       47.25388       84.63376    
  -84.94302       47.25463       196.5907    
  -84.98438       47.24762       133.0460    
  -85.02795       47.24572       141.5477    
  -85.04085       47.21629       138.4847    
  -85.08317       47.20628       214.8615    
  -85.09601       47.17951       214.8447    
  -84.62625       47.26081       22.13416    
  -85.13644       47.17202       214.5426    
  -85.17648       47.16460       154.7622    
  -85.21858       47.14983       107.7632    
  -85.22755       47.12216       139.3733    
  -85.26665       47.11054       240.3082    
  -85.27891       47.08485       234.9962    
  -85.30099       47.05742       175.4349    
  -85.27971       47.03522       246.3710    
  -85.42640       46.88091       79.12418    
  -85.42484       46.85526       79.71130    
  -85.41555       46.83189       75.08711    
  -85.41156       46.80698       63.08146    
  -85.41756       46.77890       38.97400    
  -85.42805       46.74982       27.85547    
  -85.43579       46.72184       18.89762    
  -85.41406       46.70184       10.07549    
  -85.32067       47.03006       112.0170    
  -85.33644       47.00279       98.82829    
  -85.37676       46.99550       120.0262    
  -85.39793       46.96555       141.0223    
  -85.41445       46.93600       132.4402    
  -85.41925       46.90901       82.85989    
  -84.64659       47.28505       57.90211    
  -84.68915       47.28563       102.5172    
  -84.72823       47.27855       29.75904    
  -84.76496       47.28320       41.26859    
  -84.80561       47.28228       99.78405    
  -84.84687       47.27780       41.03100    
  -84.88696       47.27628       31.79890    
  -84.92764       47.28228       166.4489    
  -84.96610       47.27345       179.1133    
  -85.00247       47.26741       135.8244    
