Node Number =  35749
  -85.04919       47.11645       47.11645    
  -85.08771       47.10852       47.10852    
  -85.12646       47.09765       47.09765    
  -85.13362       47.06933       47.06933    
  -85.17322       47.05945       47.05945    
  -85.17478       47.02396       47.02396    
  -85.19533       46.99395       46.99395    
  -85.22322       46.96762       46.96762    
  -85.29368       46.86204       46.86204    
  -85.29950       46.83701       46.83701    
  -85.30693       46.81058       46.81058    
  -85.31898       46.78281       46.78281    
  -85.32790       46.75521       46.75521    
  -85.30785       46.73663       46.73663    
  -85.26340       46.96329       46.96329    
  -85.29716       46.93635       46.93635    
  -85.30994       46.90834       46.90834    
  -85.31773       46.88178       46.88178    
  -84.70576       47.21333       47.21333    
  -84.74558       47.21163       47.21163    
  -84.78459       47.20956       47.20956    
  -84.82119       47.21037       47.21037    
  -84.85989       47.20760       47.20760    
  -84.89951       47.20266       47.20266    
  -84.93639       47.20222       47.20222    
  -84.97254       47.20366       47.20366    
  -84.98879       47.18068       47.18068    
  -85.02699       47.16980       47.16980    
  -85.03839       47.14328       47.14328    
  -84.66596       47.21436       47.21436    
  -85.07799       47.13572       47.13572    
  -85.11810       47.12527       47.12527    
  -85.15688       47.11733       47.11733    
  -85.16368       47.08929       47.08929    
  -85.19864       47.08448       47.08448    
  -85.21970       47.06458       47.06458    
  -85.20113       47.04173       47.04173    
  -85.21408       47.01646       47.01646    
  -85.23646       46.99043       46.99043    
  -85.33729       46.85477       46.85477    
  -85.33727       46.82839       46.82839    
  -85.34430       46.80100       46.80100    
  -85.35558       46.77224       46.77224    
  -85.36369       46.74386       46.74386    
  -85.34300       46.72466       46.72466    
  -85.27698       46.98657       46.98657    
  -85.29993       46.96173       46.96173    
  -85.33572       46.95258       46.95258    
  -85.34028       46.92712       46.92712    
  -85.34919       46.90062       46.90062    
  -85.35453       46.87696       46.87696    
  -84.68547       47.23667       47.23667    
  -84.72637       47.23546       47.23546    
  -84.76683       47.23388       47.23388    
  -84.80430       47.23514       47.23514    
  -84.84396       47.23279       47.23279    
  -84.88467       47.22834       47.22834    
  -84.92185       47.22838       47.22838    
  -84.95861       47.22937       47.22937    
  -85.00046       47.22279       47.22279    
  -85.01407       47.19661       47.19661    
  -85.05432       47.18940       47.18940    
  -85.06683       47.16260       47.16260    
  -84.64434       47.23695       47.23695    
  -85.10773       47.15252       47.15252    
  -85.14743       47.14484       47.14484    
  -85.18656       47.13726       47.13726    
  -85.19549       47.10991       47.10991    
  -85.23634       47.09225       47.09225    
  -85.26026       47.06267       47.06267    
  -85.23933       47.03911       47.03911    
  -85.25465       47.01325       47.01325    
  -85.38703       46.86547       46.86547    
  -85.37764       46.84263       46.84263    
  -85.37459       46.81790       46.81790    
  -85.38110       46.79016       46.79016    
  -85.39172       46.76089       46.76089    
  -85.39953       46.73244       46.73244    
  -85.37842       46.71308       46.71308    
  -85.29565       47.00868       47.00868    
  -85.31799       46.98103       46.98103    
  -85.35808       46.97372       46.97372    
  -85.37515       46.94501       46.94501    
  -85.38021       46.91861       46.91861    
  -85.38852       46.89135       46.89135    
  -84.66646       47.26047       47.26047    
  -84.70616       47.25883       47.25883    
  -84.74777       47.25741       47.25741    
  -84.78589       47.25939       47.25939    
  -84.82615       47.25731       47.25731    
  -84.86769       47.25310       47.25310    
